Tech Stack,BOD(mg/l),COD(mg/l),TSS(mg/l),TN(mg/l),FC(MPN/l),Land,Power,Capital Cost,O&M Cost
Anaerobic Lagoon & SP+STEP BNR+Coagulation&Flocculation&RSF,0.105,0.228749,0.14358,0.16875,0.002,0.475,293,16.06,1.73
Anaerobic Lagoon & SP+STEP BNR+uf&ro,0.08163,0.18995901,0.045,0.118125,1.00E-06,0.425,333,30.39,1.9
Anaerobic Lagoon & SP+STEP BNR+mf&ro,0.13272,0.28389211,0.07206,0.1265625,1.00E-06,0.455,303,28.6,1.9
Anaerobic Lagoon & SP+BARDENPH+None,0.3,0.4867,0.3,0.3375,0.01,0.434,168,12.48,0.83
Anaerobic Lagoon & SP+BARDENPH+Coagulation&Flocculation&RSF,0.105,0.228749,0.14358,0.3375,0.002,0.534,308,16.06,1.73
Anaerobic Lagoon & SP+BARDENPH+uf&ro,0.08163,0.18995901,0.045,0.23625,1.00E-06,0.484,348,30.39,1.9
Anaerobic Lagoon & SP+BARDENPH+mf&ro,0.13272,0.28389211,0.07206,0.253125,1.00E-06,0.514,318,28.6,1.9
Anaerobic Lagoon & SP+WUHERMAN+None,0.0081,0.4867,0.0018,0.0999,0.01,0.375,138,11.48,1.23
Anaerobic Lagoon & SP+WUHERMAN+Coagulation&Flocculation&RSF,0.002835,0.228749,0.00086148,0.0999,0.002,0.475,278,15.06,2.13
Anaerobic Lagoon & SP+WUHERMAN+uf&ro,0.00220401,0.18995901,0.00027,0.06993,1.00E-06,0.425,318,29.39,2.3
Anaerobic Lagoon & SP+WUHERMAN+mf&ro,0.00358344,0.28389211,0.00043236,0.074925,1.00E-06,0.455,288,27.6,2.3
SAFF+None+None,0.0333,0.125,0.236,0.9,0.0001,0.05,390,12.54,2.04
SAFF+None+Coagulation&Flocculation&RSF,0.011655,0.05875,0.1129496,0.9,2.00E-05,0.15,530,16.12,2.94
SAFF+None+uf&ro,0.00906093,0.0487875,0.0354,0.63,1.00E-08,0.1,570,30.45,3.11
SAFF+None+mf&ro,0.01473192,0.0729125,0.0566872,0.675,1.00E-08,0.13,540,28.66,3.11
SAFF+MLE+None,0.0333,0.125,0.236,0.2205,1.00E-05,0.09,510,18.54,2.64
SAFF+MLE+Coagulation&Flocculation&RSF,0.011655,0.05875,0.1129496,0.2205,2.00E-06,0.19,650,22.12,3.54
SAFF+MLE+uf&ro,0.00906093,0.0487875,0.0354,0.15435,1.00E-09,0.14,690,36.45,3.71
SAFF+MLE+mf&ro,0.01473192,0.0729125,0.0566872,0.165375,1.00E-09,0.17,660,34.66,3.71
SAFF+STEP BNR+None,0.0333,0.125,0.236,0.16875,1.00E-05,0.09,525,20.54,2.24
SAFF+STEP BNR+Coagulation&Flocculation&RSF,0.011655,0.05875,0.1129496,0.16875,2.00E-06,0.19,665,24.12,3.14
SAFF+STEP BNR+uf&ro,0.00906093,0.0487875,0.0354,0.118125,1.00E-09,0.14,705,38.45,3.31
SAFF+STEP BNR+mf&ro,0.01473192,0.0729125,0.0566872,0.1265625,1.00E-09,0.17,675,36.66,3.31
SAFF+BARDENPH+None,0.0333,0.125,0.236,0.3375,1.00E-05,0.149,540,20.54,2.24
SAFF+BARDENPH+Coagulation&Flocculation&RSF,0.011655,0.05875,0.1129496,0.3375,2.00E-06,0.249,680,24.12,3.14
SAFF+BARDENPH+uf&ro,0.00906093,0.0487875,0.0354,0.23625,1.00E-09,0.199,720,38.45,3.31
SAFF+BARDENPH+mf&ro,0.01473192,0.0729125,0.0566872,0.253125,1.00E-09,0.229,690,36.66,3.31
SAFF+WUHERMAN+None,0.0008991,0.125,0.001416,0.0999,1.00E-05,0.09,510,19.54,2.64
SAFF+WUHERMAN+Coagulation&Flocculation&RSF,0.000314685,0.05875,0.000677698,0.0999,2.00E-06,0.19,650,23.12,3.54
SAFF+WUHERMAN+uf&ro,0.000244645,0.0487875,0.0002124,0.06993,1.00E-09,0.14,690,37.45,3.71
SAFF+WUHERMAN+mf&ro,0.000397762,0.0729125,0.000340123,0.074925,1.00E-09,0.17,660,35.66,3.71
BIOFOR+None+None,0.048,0.066,0.1,0.3,0.0001,0.04,277.5,13.07,1.54
BIOFOR+None+Coagulation&Flocculation&RSF,0.0168,0.03102,0.04786,0.3,2.00E-05,0.14,417.5,16.65,2.44
